id,phase,severity,status,priority,owner,effort,title
BL-031,31,high,fixed,P0,plugin,small,"AI provider rate limiter admitted concurrent callers"
BL-032,33,high,fixed,P0,plugin,small,"Streaming provider exceptions could retain the rate-limit lease"
BL-033,31,medium,fixed,P1,plugin,small,"AI and action-router input had no common size or control-character boundary"
BL-034,31,medium,fixed,P1,plugin,small,"Concurrent direct AI queries could amplify provider queues"
BL-035,45,medium,fixed,P1,plugin,small,"Numeric action conditions depended on the host culture"
BL-036,33,medium,fixed,P1,plugin,small,"AI conversation and deduplication state survived plugin reload"
BL-037,36,high,open,P0,release-engineering,medium,"Compile references target V Rising 1.1.11 while the observed server is 1.1.13"
BL-038,34,high,open,P0,server-qa,medium,"Clean dedicated-server startup and two castle ownership tests require a live world"
BL-039,48,high,open,P0,test-engineering,large,"Automated line and branch coverage are 7.04% and 3.81%"
BL-040,38,medium,open,P2,gameplay,medium,"Gameplay wander randomness is not seedable or replayable"
BL-041,37,medium,open,P1,server-qa,medium,"Linux dedicated-server behavior is not verified"
BL-042,43,medium,open,P1,release-engineering,small,"VCF and reference-assembly NuGet packages omit license expressions"
BL-043,82,low,open,P2,server-operator,small,"Configured local Ollama endpoint is unavailable on this host"
BL-044,92,low,open,P1,release-engineering,small,"Release package was produced from a dirty working tree"
BL-045,57,medium,fixed,P1,release-engineering,small,"Original audit ZIP included generated test binaries and unrelated PJ content"
BL-046,36,medium,open,P1,plugin,small,"Runtime manifest requests VCF 0.11.0 while compilation uses VCF 0.10.4"
BL-047,83,medium,open,P1,test-engineering,medium,"Disk-full and permission-denied persistence faults are not integration-tested"
BL-048,44,medium,open,P2,plugin,medium,"No versioned public API compatibility baseline exists"
